Audio_Id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Album_Name,Album_Type,Album_Total_Tracks,Album_Popularity,Year,Month,Day,Track_Name,Track_Popularity,Duration,Track_Number,Disc Number,Artist_Name,Artist_Followers,Artist_Popularity
1566,0.628,0.834,6.0,-6.341,0.0,0.0497,0.403,0.0,0.051,0.626,97.865,4.0,I Need You,album,15,66,2001,1,30,Can't Fight The Moonlight,68,215506,6,1,LeAnn Rimes,1441096,65
1567,0.502,0.786,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.739,169.021,4.0,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),single,1,68,2016,6,24,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",73,243490,1,1,Lil Wayne,15832568,88
1568,0.962,0.657,8.0,-5.124,1.0,0.0618,0.0476,0.0,0.0739,0.791,126.019,4.0,Taller In More Ways,album,11,48,2005,1,1,Push The Button,51,218240,1,1,Sugababes,708682,60
1569,0.728,0.563,1.0,-8.053,0.0,0.134,0.621,0.0,0.179,0.352,100.017,4.0,Nine Track Mind,album,13,74,2016,1,29,We Don't Talk Anymore (feat. Selena Gomez),76,217706,5,1,Charlie Puth,23718952,81
1570,0.529,0.471,0.0,-7.586,1.0,0.0267,0.0589,0.0,0.0567,0.17,107.464,4.0,"Songs From Dawson's Creek, Vol. II",compilation,14,60,2000,9,29,Superman (It's Not Easy),32,220773,6,1,Five For Fighting,869349,57
1571,0.487,0.835,2.0,-6.44,1.0,0.0588,0.0274,0.00754,0.211,0.311,133.907,4.0,Only By The Night,album,11,80,2008,9,23,Be Somebody,48,227146,10,1,Kings of Leon,5534341,77
1572,0.754,0.618,7.0,-13.66,1.0,0.0357,0.298,0.000207,0.345,0.836,133.237,4.0,Like a Virgin,album,11,65,1984,11,12,Angel,45,236133,2,1,Madonna,8245657,81
1573,0.785,0.66,0.0,-6.866,1.0,0.0432,0.0363,8.91e-05,0.259,0.453,130.016,4.0,#willpower (Deluxe),album,18,35,2013,1,1,Scream & Shout,39,252266,4,1,will.i.am,4259997,75
1574,0.366,0.816,0.0,-5.135,1.0,0.0331,0.000112,0.021,0.136,0.608,152.085,4.0,The Blurred Crusade,album,12,39,1982,2,25,Almost With You - 2002 Remastered,41,254360,1,1,The Church,251325,51
1575,0.256,0.536,0.0,-6.308,1.0,0.0307,0.705,0.0,0.1,0.422,88.981,4.0,Nancy In London,album,15,42,2006,4,25,You Only Live Twice,38,178840,13,1,Nancy Sinatra,508869,68
1577,0.327,0.982,0.0,-3.038,1.0,0.0937,0.0665,4.79e-05,0.491,0.1,136.96,4.0,(What's The Story) Morning Glory? [Remastered],album,40,76,1995,10,2,Morning Glory - Remastered,50,303320,10,1,Oasis,11000964,80
1578,0.713,0.678,5.0,-3.525,0.0,0.102,0.273,0.0,0.149,0.734,138.009,4.0,The Writing's On The Wall,album,16,75,1999,7,27,Say My Name,77,271333,12,1,Destiny's Child,7558957,74
1579,0.423,0.55,0.0,-8.738,1.0,0.0975,0.708,0.0,0.682,0.313,119.702,4.0,The Best Of The Shangri-Las,compilation,25,51,1996,1,1,Leader Of The Pack,51,171333,2,1,The Shangri-Las,150427,45
1580,0.678,0.621,5.0,-5.478,1.0,0.0623,0.111,0.0973,0.0394,0.776,113.389,4.0,Emotional Rescue (2009 Re-Mastered),album,10,51,1980,6,20,Emotional Rescue - Remastered 2009,49,339400,8,1,The Rolling Stones,14743177,80
1581,0.561,0.836,9.0,-3.939,1.0,0.1,0.0525,0.0,0.136,0.517,127.923,4.0,Tattoos,album,11,68,2013,9,10,The Other Side,56,226986,1,1,Jason Derulo,12311496,79
1582,0.796,0.381,1.0,-20.323,1.0,0.126,0.0236,0.863,0.0772,0.555,117.177,4.0,Beverly Hills Cop (Music From The Motion Picture Soundtrack),compilation,10,41,1984,1,1,"Axel F - From ""Beverly Hills Cop"" Soundtrack",40,184800,10,1,Harold Faltermeyer,53460,56
1583,0.596,0.896,6.0,-2.946,1.0,0.0945,0.00241,0.0,0.0913,0.62,121.957,4.0,Teenage Dream: The Complete Confection,album,19,80,2012,3,12,Hummingbird Heartbeat,41,212280,11,1,Katy Perry,35312093,86
1584,0.59,0.743,0.0,-7.078,0.0,0.0347,0.067,0.00093,0.0847,0.412,129.79,4.0,Hysteria,album,12,70,1987,8,3,Love Bites,55,346960,4,1,Def Leppard,5234148,70
