Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Album_Total_Tracks,Album_Popularity,Track_Popularity,Duration,Artist_Followers,Artist_Popularity
0.254,0.761,0.6213913523110521,0.0472,0.0006,0.0004,0.265,0.412,-0.043941432352488326,0.27114267719403135,18,22,0.8391644961284146,-1.3352743261637585,31
0.867,0.714,0.24561181544447175,0.0662,0.0224,0.704,0.104,0.623,0.11383802426722335,0.1400937376192711,51,47,1.7390875828767325,-0.019187904425125666,62
0.773,0.721,-2.256087326752802,0.0294,0.232,1.61e-05,0.0349,0.971,-0.31175065410548103,0.3942442336153424,53,47,0.8638723540007625,-0.22100002955487755,65
0.661,0.651,0.6143566087362894,0.0499,0.117,1.32e-05,0.056,0.368,-1.1635277188674205,0.5103074682459219,78,64,-0.38449120315554475,0.8782146054338916,88
0.612,0.84,0.7754289824387095,0.0509,0.112,0.0,0.116,0.438,0.26078279461099546,-2.09069762381995,73,78,-0.1792771160727194,0.15607424192859742,77
0.498,0.634,0.22620790884048195,0.0288,0.166,0.0,0.3,0.36,0.6659008412753489,0.6200938700464856,52,44,0.2075651000131373,0.03083732953727511,68
0.334,0.557,0.015245734264800626,0.0496,0.155,1.66e-06,0.106,0.362,1.8264462305613447,-0.31301124925111484,29,27,-0.7844917437482892,-1.0638804531408066,38
0.631,0.796,0.18833340272888957,0.0401,0.000245,0.0115,0.38,0.596,-0.9599235584888657,-3.9512752546325194,55,60,-0.25532185767762644,1.1598252535493234,90
0.653,0.666,-0.5396351042639203,0.0249,0.0508,0.0466,0.139,0.765,0.24548648500069292,-0.4896925317540781,65,66,0.8505541338741583,-0.23298527650612025,62
0.654,0.417,-0.5054650537824787,0.025,0.0624,0.0,0.0963,0.279,0.6549813237352062,0.0,56,59,1.238274979318566,-0.21488790724438353,61
0.757,0.905,-0.22197304345264776,0.0338,0.00254,0.0012,0.0357,0.621,0.14412048227248772,-0.31301124925111484,0,1,1.9938849655275561,-1.0376438457791346,54
0.66,0.805,0.1877746850307239,0.153,0.0192,8.83e-06,0.159,0.625,-0.564990506365109,0.27114267719403135,84,74,-0.578877749407592,1.117181190099538,95
0.384,0.921,0.7272404361003738,0.055,0.0948,0.0,0.168,0.471,-1.0620515103286559,-0.15048022473399125,65,68,-0.274514770774956,0.25854590864588006,74
0.665,0.847,-0.7007877392972336,0.0535,0.0178,0.00288,0.126,0.4,-0.019236793270469982,-0.15048022473399125,74,58,1.0736438539629882,0.4550993467476463,79
0.633,0.564,-0.5336652116746419,0.0701,0.135,0.0,0.201,0.648,1.1410686265760384,-0.4896925317540781,69,48,-0.8289571625475823,0.6488928709053514,83
0.802,0.962,-0.375849561924863,0.0415,0.00363,0.0794,0.312,0.966,0.20328719604023646,-0.4896925317540781,46,37,1.50750983461921,-1.8176647639894743,38
0.613,0.72,-0.5866531386763946,0.0425,0.0132,0.0,0.104,0.561,-0.08775546669788989,-0.15048022473399125,63,68,0.7852498957380166,-0.3685209794937474,57
0.604,0.622,-0.5314672339563172,0.0469,0.0943,0.00577,0.204,0.424,0.1802047077575745,-0.15048022473399125,43,42,0.2259307512500078,-0.8830584636805071,46
0.617,0.439,0.10961606694825765,0.0269,0.424,0.0,0.127,0.242,0.5592928464076868,0.3942442336153424,88,61,1.004314079374148,1.1598252535493234,90
0.497,0.883,0.055907943994323916,0.0689,0.0365,0.0,0.927,0.61,-0.6012060209717413,0.6200938700464856,44,34,4.666102095732882,-0.44771657787957997,54
0.791,0.702,-0.3920950797206437,0.0623,0.0174,0.0,0.423,0.789,-0.5423845392781178,-0.31301124925111484,60,63,0.29115057173246467,-0.2710632547216976,59
0.444,0.757,-0.25580409881051086,0.0541,0.699,0.0,0.329,0.554,0.9159746301134415,-0.4896925317540781,45,50,-0.12845706011138128,-0.6160262692303409,61
0.664,0.316,-1.3936728501624456,0.519,0.298,2.03e-06,0.0812,0.541,-0.9439016333453153,0.6200938700464856,91,68,-1.1272215624999835,1.1846245587038784,100
0.747,0.701,0.31222724435251203,0.0429,0.108,0.0,0.0712,0.589,-0.6730354059373537,-3.9512752546325194,49,54,0.12092817672357871,0.9809373148694017,96
0.704,0.634,-0.40469179941869765,0.0428,0.393,3.17e-05,0.0952,0.411,-0.1959654016055466,0.27114267719403135,77,75,0.8661932707427176,0.3877210938934706,82
0.696,0.699,0.6172235844077381,0.0468,0.0374,0.00108,0.0485,0.967,0.23069982425593344,-0.4896925317540781,21,22,-0.892545632338998,-1.0649876186648526,51
0.368,0.858,0.2891860039437218,0.246,0.093,0.00267,0.0986,0.542,1.3941329971931995,0.9177801121881057,48,40,-0.48854254817685044,-1.4928308012958031,49
0.805,0.942,-0.16639176442928522,0.0905,0.0745,1.46e-05,0.415,0.608,-0.44205933054988283,1.6141478810141234,75,57,0.969940703115546,0.793036348125085,85
0.692,0.413,-1.9863333245411465,0.0422,0.118,0.0,0.305,0.744,0.048065020491846376,1.2569924192081925,50,25,-1.6341259963995856,-0.3078962604086935,55
0.672,0.593,0.5517335864388199,0.0304,0.0223,0.0,0.214,0.438,-0.746661538309694,0.3942442336153424,72,67,0.13555216938353318,0.9159987149651067,83
0.748,0.939,0.4780823568097193,0.0341,0.0534,0.0,0.32,0.96,-0.5298655897206385,0.3942442336153424,77,64,-0.48817452476579765,0.5679218964679266,84
